ATM Name,Transaction Date,No Of Withdrawals,Total amount Withdrawn (Rupee),Total amount Withdrawn (Rupiah),Weekday
Mount Road ATM,24/12/13,60,245200,45825428,TUESDAY
Airport ATM,24/12/13,38,106100,19829029,TUESDAY
KK Nagar ATM,24/12/13,226,775300,144895817,TUESDAY
Christ College ATM,24/12/13,110,522200,97593958,TUESDAY
Big Street ATM,25/12/13,129,330400,61748456,WEDNESDAY
Mount Road ATM,25/12/13,87,254500,47563505,WEDNESDAY
Airport ATM,25/12/13,19,21200,3962068,WEDNESDAY
KK Nagar ATM,25/12/13,177,745500,139326495,WEDNESDAY
Christ College ATM,25/12/13,76,233100,43564059,WEDNESDAY
Big Street ATM,26/12/13,77,340800,63692112,THURSDAY
Mount Road ATM,26/12/13,167,659100,123179199,THURSDAY
KK Nagar ATM,26/12/13,220,956200,178704218,THURSDAY
Christ College ATM,26/12/13,92,520800,97332312,THURSDAY
Big Street ATM,27/12/13,73,273000,51020970,FRIDAY
Mount Road ATM,27/12/13,125,550300,102845567,FRIDAY
KK Nagar ATM,27/12/13,165,579000,108209310,FRIDAY
Christ College ATM,27/12/13,46,82400,15399736,FRIDAY
Big Street ATM,28/12/13,100,353900,66140371,SATURDAY
Mount Road ATM,28/12/13,168,469000,87651410,SATURDAY
Airport ATM,28/12/13,43,156300,29210907,SATURDAY
KK Nagar ATM,28/12/13,280,1132600,211671614,SATURDAY
Christ College ATM,28/12/13,116,525600,98229384,SATURDAY
Big Street ATM,29/12/13,101,312900,58477881,SUNDAY
Mount Road ATM,29/12/13,89,184100,34406449,SUNDAY
Airport ATM,29/12/13,103,445400,83240806,SUNDAY
KK Nagar ATM,29/12/13,123,438600,81969954,SUNDAY
Christ College ATM,29/12/13,65,233300,43601437,SUNDAY
Big Street ATM,30/12/13,98,328700,61430743,MONDAY
Mount Road ATM,30/12/13,145,534800,99948772,MONDAY
Airport ATM,30/12/13,101,465200,86941228,MONDAY
KK Nagar ATM,30/12/13,227,1065700,199168673,MONDAY
Christ College ATM,30/12/13,111,576800,107798152,MONDAY
Big Street ATM,31/12/13,144,607900,113610431,TUESDAY
Mount Road ATM,31/12/13,221,922400,172387336,TUESDAY
Airport ATM,31/12/13,119,721900,134915891,TUESDAY
KK Nagar ATM,31/12/13,335,1506400,281531096,TUESDAY
Christ College ATM,31/12/13,110,376400,70345396,TUESDAY
Big Street ATM,01/01/14,101,360800,67429912,WEDNESDAY
Mount Road ATM,01/01/14,90,268800,50236032,WEDNESDAY
Airport ATM,01/01/14,68,349500,65318055,WEDNESDAY
KK Nagar ATM,01/01/14,235,1083400,202476626,WEDNESDAY
Christ College ATM,01/01/14,85,318400,59505776,WEDNESDAY
Big Street ATM,02/01/14,80,257500,48124175,THURSDAY
Mount Road ATM,02/01/14,193,1031000,192683590,THURSDAY
Airport ATM,02/01/14,49,221600,41414824,THURSDAY
KK Nagar ATM,02/01/14,295,1604500,299865005,THURSDAY
Christ College ATM,02/01/14,183,836100,156258729,THURSDAY
Big Street ATM,03/01/14,105,336400,62869796,FRIDAY
Mount Road ATM,03/01/14,171,653800,122188682,FRIDAY
Airport ATM,03/01/14,122,552600,103275414,FRIDAY
KK Nagar ATM,03/01/14,246,1202000,224641780,FRIDAY
Christ College ATM,03/01/14,158,831500,155399035,FRIDAY
Big Street ATM,04/01/14,108,352600,65897414,SATURDAY
Mount Road ATM,04/01/14,197,769900,143886611,SATURDAY
Airport ATM,04/01/14,57,291700,54515813,SATURDAY
KK Nagar ATM,04/01/14,278,1398600,261384354,SATURDAY
Christ College ATM,04/01/14,168,960600,179526534,SATURDAY
Big Street ATM,05/01/14,140,516200,96472618,SUNDAY
Mount Road ATM,05/01/14,164,395000,73821550,SUNDAY
Airport ATM,05/01/14,127,510200,95351278,SUNDAY
KK Nagar ATM,05/01/14,175,697700,130393153,SUNDAY
Christ College ATM,05/01/14,155,523900,97911671,SUNDAY
Big Street ATM,06/01/14,112,420700,78624623,MONDAY
Mount Road ATM,06/01/14,264,1187800,221987942,MONDAY
Airport ATM,06/01/14,48,233400,43620126,MONDAY
KK Nagar ATM,06/01/14,319,1244700,232621983,MONDAY
Christ College ATM,06/01/14,218,1087000,203149430,MONDAY
Big Street ATM,07/01/14,147,593100,110844459,TUESDAY
Mount Road ATM,07/01/14,246,1243400,232379026,TUESDAY
Airport ATM,07/01/14,124,605400,113143206,TUESDAY
KK Nagar ATM,07/01/14,228,1064000,198850960,TUESDAY
Christ College ATM,07/01/14,159,760600,142148534,TUESDAY
Big Street ATM,08/01/14,119,463800,86679582,WEDNESDAY
Mount Road ATM,08/01/14,189,685600,128131784,WEDNESDAY
Airport ATM,08/01/14,130,556800,104060352,WEDNESDAY
KK Nagar ATM,08/01/14,248,1114800,208344972,WEDNESDAY
Christ College ATM,08/01/14,214,1028300,192178987,WEDNESDAY
Big Street ATM,09/01/14,141,508700,95070943,THURSDAY
Mount Road ATM,09/01/14,180,769500,143811855,THURSDAY
Airport ATM,09/01/14,138,588300,109947387,THURSDAY
KK Nagar ATM,09/01/14,261,1193200,222997148,THURSDAY
Christ College ATM,09/01/14,138,577000,107835530,THURSDAY
Big Street ATM,10/01/14,116,420900,78662001,FRIDAY
Mount Road ATM,10/01/14,214,786500,146988985,FRIDAY
Airport ATM,10/01/14,118,717300,134056197,FRIDAY
KK Nagar ATM,10/01/14,256,1193500,223053215,FRIDAY
Christ College ATM,10/01/14,174,785300,146764717,FRIDAY
Big Street ATM,11/01/14,115,435200,81334528,SATURDAY
Mount Road ATM,11/01/14,190,649500,121385055,SATURDAY
Airport ATM,11/01/14,158,784300,146577827,SATURDAY
KK Nagar ATM,11/01/14,250,1161000,216979290,SATURDAY
Christ College ATM,11/01/14,136,710000,132691900,SATURDAY
Big Street ATM,12/01/14,128,340600,63654734,SUNDAY
Mount Road ATM,12/01/14,146,509000,95127010,SUNDAY
Airport ATM,12/01/14,122,553100,103368859,SUNDAY
KK Nagar ATM,12/01/14,175,734800,137326772,SUNDAY
Christ College ATM,12/01/14,99,353600,66084304,SUNDAY
Big Street ATM,13/01/14,84,287100,53656119,MONDAY
Mount Road ATM,13/01/14,186,580100,108414889,MONDAY
Airport ATM,13/01/14,120,498300,93127287,MONDAY
KK Nagar ATM,13/01/14,260,1038300,194047887,MONDAY
Christ College ATM,13/01/14,155,664000,124094960,MONDAY
Big Street ATM,14/01/14,115,252600,47208414,TUESDAY
Mount Road ATM,14/01/14,108,293000,54758770,TUESDAY
Airport ATM,14/01/14,50,231000,43171590,TUESDAY
KK Nagar ATM,14/01/14,129,444200,83016538,TUESDAY
Christ College ATM,14/01/14,91,294400,55020416,TUESDAY
Big Street ATM,15/01/14,135,461600,86268424,WEDNESDAY
Mount Road ATM,15/01/14,96,377200,70494908,WEDNESDAY
Airport ATM,15/01/14,69,313100,58515259,WEDNESDAY
KK Nagar ATM,15/01/14,139,522100,97575269,WEDNESDAY
Christ College ATM,15/01/14,78,313800,58646082,WEDNESDAY
Big Street ATM,16/01/14,130,438400,81932576,THURSDAY
Mount Road ATM,16/01/14,127,352600,65897414,THURSDAY
Airport ATM,16/01/14,90,217900,40723331,THURSDAY
KK Nagar ATM,16/01/14,195,771000,144092190,THURSDAY
Christ College ATM,16/01/14,116,354500,66252505,THURSDAY
Big Street ATM,17/01/14,112,342800,64065892,FRIDAY
Mount Road ATM,17/01/14,155,660800,123496912,FRIDAY
Airport ATM,17/01/14,97,514700,96192283,FRIDAY
KK Nagar ATM,17/01/14,260,1184400,221352516,FRIDAY
Christ College ATM,17/01/14,239,1042800,194888892,FRIDAY
Big Street ATM,18/01/14,120,404500,75597005,SATURDAY
Mount Road ATM,18/01/14,152,598900,111928421,SATURDAY
Airport ATM,18/01/14,105,570700,106658123,SATURDAY
KK Nagar ATM,18/01/14,200,775300,144895817,SATURDAY
Christ College ATM,18/01/14,170,741600,138597624,SATURDAY
Big Street ATM,19/01/14,123,389500,72793655,SUNDAY
Mount Road ATM,19/01/14,103,266000,49712740,SUNDAY
Airport ATM,19/01/14,127,530300,99107767,SUNDAY
KK Nagar ATM,19/01/14,113,411500,76905235,SUNDAY
Christ College ATM,19/01/14,148,461600,86268424,SUNDAY
Big Street ATM,20/01/14,85,310400,58010656,MONDAY
Mount Road ATM,20/01/14,168,550500,102882945,MONDAY
Airport ATM,20/01/14,119,793400,148278526,MONDAY
KK Nagar ATM,20/01/14,232,1411100,263720479,MONDAY
Christ College ATM,20/01/14,187,762100,142428869,MONDAY
Big Street ATM,21/01/14,85,319800,59767422,TUESDAY
Mount Road ATM,21/01/14,128,373800,69859482,TUESDAY
Airport ATM,21/01/14,79,244500,45694605,TUESDAY
KK Nagar ATM,21/01/14,196,1005000,187824450,TUESDAY
Christ College ATM,21/01/14,175,801900,149867091,TUESDAY
Big Street ATM,22/01/14,96,220000,41115800,WEDNESDAY
Mount Road ATM,22/01/14,163,572800,107050592,WEDNESDAY
Airport ATM,22/01/14,127,615800,115086862,WEDNESDAY
KK Nagar ATM,22/01/14,202,1030800,192646212,WEDNESDAY
Christ College ATM,22/01/14,157,705700,131888273,WEDNESDAY
Big Street ATM,23/01/14,81,264600,49451094,THURSDAY
Mount Road ATM,23/01/14,130,564300,105462027,THURSDAY
Airport ATM,23/01/14,103,547200,102266208,THURSDAY
KK Nagar ATM,23/01/14,181,736400,137625796,THURSDAY
Christ College ATM,23/01/14,110,461800,86305802,THURSDAY
Big Street ATM,24/01/14,118,385300,72008717,FRIDAY
Mount Road ATM,24/01/14,175,591200,110489368,FRIDAY
Airport ATM,24/01/14,78,380500,71111645,FRIDAY
KK Nagar ATM,24/01/14,162,704200,131607938,FRIDAY
Christ College ATM,24/01/14,86,362700,67785003,FRIDAY
Big Street ATM,25/01/14,97,258500,48311065,SATURDAY
Mount Road ATM,25/01/14,166,579700,108340133,SATURDAY
Airport ATM,25/01/14,70,386900,72307741,SATURDAY
KK Nagar ATM,25/01/14,272,1450300,271046567,SATURDAY
Christ College ATM,25/01/14,144,636700,118992863,SATURDAY
Big Street ATM,26/01/14,118,415800,77708862,SUNDAY
Mount Road ATM,26/01/14,149,365800,68364362,SUNDAY
Airport ATM,26/01/14,97,435900,81465351,SUNDAY
KK Nagar ATM,26/01/14,110,492500,92043325,SUNDAY
Christ College ATM,26/01/14,137,349900,65392811,SUNDAY
Big Street ATM,27/01/14,92,279800,52291822,MONDAY
Mount Road ATM,27/01/14,133,511600,95612924,MONDAY
Airport ATM,27/01/14,112,524800,98079872,MONDAY
KK Nagar ATM,27/01/14,208,1032800,193019992,MONDAY
Christ College ATM,27/01/14,127,467400,87352386,MONDAY
Big Street ATM,28/01/14,107,398200,74419598,TUESDAY
Mount Road ATM,28/01/14,106,367500,68682075,TUESDAY
Airport ATM,28/01/14,86,494900,92491861,TUESDAY
KK Nagar ATM,28/01/14,209,836400,156314796,TUESDAY
Christ College ATM,28/01/14,139,444200,83016538,TUESDAY
Big Street ATM,29/01/14,84,234200,43769638,WEDNESDAY
Mount Road ATM,29/01/14,130,606900,113423541,WEDNESDAY
Airport ATM,29/01/14,91,372900,69691281,WEDNESDAY
KK Nagar ATM,29/01/14,206,988900,184815521,WEDNESDAY
Christ College ATM,29/01/14,148,549600,102714744,WEDNESDAY
Big Street ATM,30/01/14,67,274700,51338683,THURSDAY
Mount Road ATM,30/01/14,126,487200,91052808,THURSDAY
Airport ATM,30/01/14,129,715300,133682417,THURSDAY
KK Nagar ATM,30/01/14,237,1443400,269757026,THURSDAY
Christ College ATM,30/01/14,126,592100,110657569,THURSDAY
Big Street ATM,31/01/14,120,401100,74961579,FRIDAY
Mount Road ATM,31/01/14,191,692200,129365258,FRIDAY
Airport ATM,31/01/14,132,643500,120263715,FRIDAY
KK Nagar ATM,31/01/14,259,1245300,232734117,FRIDAY
Christ College ATM,31/01/14,231,980200,183189578,FRIDAY
Big Street ATM,01/02/14,93,384700,71896583,SATURDAY
Mount Road ATM,01/02/14,154,651400,121740146,SATURDAY
Airport ATM,01/02/14,133,654500,122319505,SATURDAY
KK Nagar ATM,01/02/14,296,1588000,296781320,SATURDAY
Christ College ATM,01/02/14,195,937600,175228064,SATURDAY
Big Street ATM,02/02/14,128,543000,101481270,SUNDAY
Mount Road ATM,02/02/14,162,556200,103948218,SUNDAY
Airport ATM,02/02/14,119,419200,78344288,SUNDAY
KK Nagar ATM,02/02/14,144,726800,135831652,SUNDAY
Christ College ATM,02/02/14,267,1201400,224529646,SUNDAY
Big Street ATM,03/02/14,95,344200,64327538,MONDAY
Mount Road ATM,03/02/14,188,643200,120207648,MONDAY
Airport ATM,03/02/14,136,666500,124562185,MONDAY
KK Nagar ATM,03/02/14,315,1831700,342326413,MONDAY
Christ College ATM,03/02/14,140,498600,93183354,MONDAY
Big Street ATM,04/02/14,154,540000,100920600,TUESDAY
Mount Road ATM,04/02/14,195,727100,135887719,TUESDAY
Airport ATM,04/02/14,117,742200,138709758,TUESDAY
KK Nagar ATM,04/02/14,254,1362500,254637625,TUESDAY
Christ College ATM,04/02/14,192,981600,183451224,TUESDAY
Big Street ATM,05/02/14,119,354500,66252505,WEDNESDAY
Mount Road ATM,05/02/14,194,741900,138653691,WEDNESDAY
Airport ATM,05/02/14,96,437800,81820442,WEDNESDAY
KK Nagar ATM,05/02/14,289,1558600,291286754,WEDNESDAY
Christ College ATM,05/02/14,173,708600,132430254,WEDNESDAY
Big Street ATM,06/02/14,101,335000,62608150,THURSDAY
Mount Road ATM,06/02/14,201,876300,163771707,THURSDAY
Airport ATM,06/02/14,115,621500,116152135,THURSDAY
KK Nagar ATM,06/02/14,265,1331900,248918791,THURSDAY
Christ College ATM,06/02/14,220,866200,161884118,THURSDAY
Big Street ATM,07/02/14,111,545900,102023251,FRIDAY
Mount Road ATM,07/02/14,188,710100,132710589,FRIDAY
Airport ATM,07/02/14,104,483300,90323937,FRIDAY
KK Nagar ATM,07/02/14,215,1049600,196159744,FRIDAY
Christ College ATM,07/02/14,183,643800,120319782,FRIDAY
Big Street ATM,08/02/14,97,385900,72120851,SATURDAY
Mount Road ATM,08/02/14,194,773700,144596793,SATURDAY
Airport ATM,08/02/14,128,607300,113498297,SATURDAY
KK Nagar ATM,08/02/14,263,1212800,226660192,SATURDAY
Christ College ATM,08/02/14,236,1087300,203205497,SATURDAY
Big Street ATM,09/02/14,48,175500,32799195,SUNDAY
Mount Road ATM,09/02/14,73,197100,36836019,SUNDAY
Airport ATM,09/02/14,94,430300,80418767,SUNDAY
KK Nagar ATM,09/02/14,114,467200,87315008,SUNDAY
Christ College ATM,09/02/14,81,357400,66794486,SUNDAY
Big Street ATM,10/02/14,86,316100,59075929,MONDAY
Mount Road ATM,10/02/14,196,881600,164762224,MONDAY
Airport ATM,10/02/14,117,576200,107686018,MONDAY
KK Nagar ATM,10/02/14,209,904300,169004627,MONDAY
Christ College ATM,10/02/14,212,1127700,210755853,MONDAY
Big Street ATM,11/02/14,112,396100,74027129,TUESDAY
Mount Road ATM,11/02/14,178,649600,121403744,TUESDAY
Airport ATM,11/02/14,102,423900,79222671,TUESDAY
KK Nagar ATM,11/02/14,278,1303000,243517670,TUESDAY
Christ College ATM,11/02/14,236,841100,157193179,TUESDAY
Big Street ATM,12/02/14,128,485800,90791162,WEDNESDAY
Mount Road ATM,12/02/14,204,787200,147119808,WEDNESDAY
Airport ATM,12/02/14,60,313300,58552637,WEDNESDAY
KK Nagar ATM,12/02/14,183,1027100,191954719,WEDNESDAY
Christ College ATM,12/02/14,179,933600,174480504,WEDNESDAY
Big Street ATM,13/02/14,118,361600,67579424,THURSDAY
Mount Road ATM,13/02/14,163,575400,107536506,THURSDAY
Airport ATM,13/02/14,6,14700,2747283,THURSDAY
KK Nagar ATM,13/02/14,213,1054900,197150261,THURSDAY
Christ College ATM,13/02/14,132,613800,114713082,THURSDAY
Big Street ATM,14/02/14,132,559300,104527577,FRIDAY
Mount Road ATM,14/02/14,158,484200,90492138,FRIDAY
Airport ATM,14/02/14,103,420800,78643312,FRIDAY
KK Nagar ATM,14/02/14,247,930400,173882456,FRIDAY
Christ College ATM,14/02/14,154,768100,143550209,FRIDAY
Big Street ATM,15/02/14,136,400300,74812067,SATURDAY
Mount Road ATM,15/02/14,230,832500,155585925,SATURDAY
Airport ATM,15/02/14,140,793000,148203770,SATURDAY
KK Nagar ATM,15/02/14,235,1068700,199729343,SATURDAY
Christ College ATM,15/02/14,162,658000,122973620,SATURDAY
Big Street ATM,16/02/14,127,376100,70289329,SUNDAY
Mount Road ATM,16/02/14,116,434600,81222394,SUNDAY
Airport ATM,16/02/14,132,506900,94734541,SUNDAY
KK Nagar ATM,16/02/14,116,402700,75260603,SUNDAY
Christ College ATM,16/02/14,182,525000,98117250,SUNDAY
Big Street ATM,17/02/14,77,259100,48423199,MONDAY
Mount Road ATM,17/02/14,132,565600,105704984,MONDAY
Airport ATM,17/02/14,90,451400,84362146,MONDAY
KK Nagar ATM,17/02/14,224,1175400,219670506,MONDAY
Christ College ATM,17/02/14,111,378700,70775243,MONDAY
Big Street ATM,18/02/14,89,377600,70569664,TUESDAY
Mount Road ATM,18/02/14,131,423600,79166604,TUESDAY
Airport ATM,18/02/14,122,570700,106658123,TUESDAY
KK Nagar ATM,18/02/14,190,909200,169920388,TUESDAY
Christ College ATM,18/02/14,102,484000,90454760,TUESDAY
Big Street ATM,19/02/14,121,401700,75073713,WEDNESDAY
Mount Road ATM,19/02/14,177,548000,102415720,WEDNESDAY
Airport ATM,19/02/14,77,359400,67168266,WEDNESDAY
KK Nagar ATM,19/02/14,199,830800,155268212,WEDNESDAY
Christ College ATM,19/02/14,160,666100,124487429,WEDNESDAY
Big Street ATM,20/02/14,130,363200,67878448,THURSDAY
Mount Road ATM,20/02/14,150,771500,144185635,THURSDAY
Airport ATM,20/02/14,99,449200,83950988,THURSDAY
KK Nagar ATM,20/02/14,233,1031000,192683590,THURSDAY
Christ College ATM,20/02/14,150,680200,127122578,THURSDAY
Big Street ATM,21/02/14,147,484400,90529516,FRIDAY
Mount Road ATM,21/02/14,164,562700,105163003,FRIDAY
Airport ATM,21/02/14,103,335400,62682906,FRIDAY
KK Nagar ATM,21/02/14,230,1174600,219520994,FRIDAY
Christ College ATM,21/02/14,196,731200,136653968,FRIDAY
Big Street ATM,22/02/14,123,316300,59113307,SATURDAY
Mount Road ATM,22/02/14,171,511800,95650302,SATURDAY
Airport ATM,22/02/14,93,320300,59860867,SATURDAY
KK Nagar ATM,22/02/14,216,830600,155230834,SATURDAY
Christ College ATM,22/02/14,126,582700,108900803,SATURDAY
Big Street ATM,23/02/14,134,310700,58066723,SUNDAY
Mount Road ATM,23/02/14,94,208000,38873120,SUNDAY
Airport ATM,23/02/14,93,353200,66009548,SUNDAY
KK Nagar ATM,23/02/14,111,305700,57132273,SUNDAY
Christ College ATM,23/02/14,146,482700,90211803,SUNDAY
Big Street ATM,24/02/14,102,301000,56253890,MONDAY
Mount Road ATM,24/02/14,173,617700,115441953,MONDAY
Airport ATM,24/02/14,105,508200,94977498,MONDAY
KK Nagar ATM,24/02/14,216,974000,182030860,MONDAY
Christ College ATM,24/02/14,192,639800,119572222,MONDAY
Big Street ATM,25/02/14,94,271300,50703257,TUESDAY
Mount Road ATM,25/02/14,155,565700,105723673,TUESDAY
Airport ATM,25/02/14,85,449300,83969677,TUESDAY
KK Nagar ATM,25/02/14,234,1116500,208662685,TUESDAY
Christ College ATM,25/02/14,254,867100,162052319,TUESDAY
Big Street ATM,26/02/14,94,222100,41508269,WEDNESDAY
Mount Road ATM,26/02/14,117,408500,76344565,WEDNESDAY
Airport ATM,26/02/14,93,367100,68607319,WEDNESDAY
KK Nagar ATM,26/02/14,215,873700,163285793,WEDNESDAY
Christ College ATM,26/02/14,159,693700,129645593,WEDNESDAY
Big Street ATM,27/02/14,91,266000,49712740,THURSDAY
Mount Road ATM,27/02/14,137,506500,94659785,THURSDAY
Airport ATM,27/02/14,85,342500,64009825,THURSDAY
KK Nagar ATM,27/02/14,211,1107900,207055431,THURSDAY
Christ College ATM,27/02/14,186,824500,154090805,THURSDAY
Big Street ATM,28/02/14,123,453000,84661170,FRIDAY
Mount Road ATM,28/02/14,160,540900,101088801,FRIDAY
Airport ATM,28/02/14,106,504700,94323383,FRIDAY
KK Nagar ATM,28/02/14,196,1088900,203504521,FRIDAY
Christ College ATM,28/02/14,194,747200,139644208,FRIDAY
Big Street ATM,01/03/14,130,573800,107237482,SATURDAY
Mount Road ATM,01/03/14,175,805400,150521206,SATURDAY
Airport ATM,01/03/14,101,341600,63841624,SATURDAY
KK Nagar ATM,01/03/14,280,1456300,272167907,SATURDAY
Christ College ATM,01/03/14,225,1119600,209242044,SATURDAY
Big Street ATM,02/03/14,154,478400,89408176,SUNDAY
Mount Road ATM,02/03/14,147,435300,81353217,SUNDAY
Airport ATM,02/03/14,143,845300,157978117,SUNDAY
KK Nagar ATM,02/03/14,151,675400,126225506,SUNDAY
Christ College ATM,02/03/14,251,1017100,190085819,SUNDAY
Big Street ATM,03/03/14,143,547600,102340964,MONDAY
Mount Road ATM,03/03/14,194,811400,151642546,MONDAY
Airport ATM,03/03/14,72,355400,66420706,MONDAY
KK Nagar ATM,03/03/14,325,1491900,278821191,MONDAY
Christ College ATM,03/03/14,373,1670800,312255812,MONDAY
Big Street ATM,04/03/14,128,563500,105312515,TUESDAY
Mount Road ATM,04/03/14,175,761000,142223290,TUESDAY
Airport ATM,04/03/14,127,604200,112918938,TUESDAY
KK Nagar ATM,04/03/14,244,1120800,209466312,TUESDAY
Christ College ATM,04/03/14,301,1487000,277905430,TUESDAY
Big Street ATM,05/03/14,131,460500,86062845,WEDNESDAY
Mount Road ATM,05/03/14,189,922700,172443403,WEDNESDAY
Airport ATM,05/03/14,133,619500,115778355,WEDNESDAY
KK Nagar ATM,05/03/14,299,1752800,327580792,WEDNESDAY
Christ College ATM,05/03/14,294,1447400,270504586,WEDNESDAY
Big Street ATM,06/03/14,96,391000,73073990,THURSDAY
Mount Road ATM,06/03/14,184,794400,148465416,THURSDAY
Airport ATM,06/03/14,137,660400,123422156,THURSDAY
KK Nagar ATM,06/03/14,250,1460700,272990223,THURSDAY
Christ College ATM,06/03/14,189,945900,176779251,THURSDAY
Big Street ATM,07/03/14,121,428200,80026298,FRIDAY
Mount Road ATM,07/03/14,163,586700,109648363,FRIDAY
Airport ATM,07/03/14,86,379600,70943444,FRIDAY
KK Nagar ATM,07/03/14,205,951900,177900591,FRIDAY
Christ College ATM,07/03/14,211,908700,169826943,FRIDAY
Big Street ATM,08/03/14,159,683500,127739315,SATURDAY
Mount Road ATM,08/03/14,243,949600,177470744,SATURDAY
Airport ATM,08/03/14,133,758300,141718687,SATURDAY
KK Nagar ATM,08/03/14,302,1378700,257665243,SATURDAY
Christ College ATM,08/03/14,272,1252500,234079725,SATURDAY
Big Street ATM,09/03/14,117,350000,65411500,SUNDAY
Mount Road ATM,09/03/14,160,493400,92211526,SUNDAY
Airport ATM,09/03/14,90,314900,58851661,SUNDAY
KK Nagar ATM,09/03/14,121,507600,94865364,SUNDAY
Christ College ATM,09/03/14,136,529800,99014322,SUNDAY
Big Street ATM,10/03/14,82,423900,79222671,MONDAY
Mount Road ATM,10/03/14,180,834100,155884949,MONDAY
Airport ATM,10/03/14,67,469300,87707477,MONDAY
KK Nagar ATM,10/03/14,276,1434200,268037638,MONDAY
Christ College ATM,10/03/14,208,994200,185806038,MONDAY
Big Street ATM,11/03/14,114,339300,63411777,TUESDAY
Mount Road ATM,11/03/14,174,684000,127832760,TUESDAY
Airport ATM,11/03/14,110,551100,102995079,TUESDAY
KK Nagar ATM,11/03/14,248,1166700,218044563,TUESDAY
Christ College ATM,11/03/14,200,762800,142559692,TUESDAY
Big Street ATM,12/03/14,119,406600,75989474,WEDNESDAY
Mount Road ATM,12/03/14,139,629600,117665944,WEDNESDAY
Airport ATM,12/03/14,136,742100,138691069,WEDNESDAY
KK Nagar ATM,12/03/14,212,1100500,205672445,WEDNESDAY
Christ College ATM,12/03/14,127,685700,128150473,WEDNESDAY
Big Street ATM,13/03/14,110,305100,57020139,THURSDAY
Mount Road ATM,13/03/14,104,388500,72606765,THURSDAY
Airport ATM,13/03/14,113,504500,94286005,THURSDAY
KK Nagar ATM,13/03/14,223,1105900,206681651,THURSDAY
Christ College ATM,13/03/14,118,530100,99070389,THURSDAY
Big Street ATM,14/03/14,94,333300,62290437,FRIDAY
Mount Road ATM,14/03/14,173,620800,116021312,FRIDAY
Airport ATM,14/03/14,121,645700,120674873,FRIDAY
KK Nagar ATM,14/03/14,240,1180600,220642334,FRIDAY
Christ College ATM,14/03/14,100,442200,82642758,FRIDAY
Big Street ATM,15/03/14,127,489000,91389210,SATURDAY
Mount Road ATM,15/03/14,158,492800,92099392,SATURDAY
